text,classification,topics,
"Nice place, ample parking but no one available to guide guests for proper parking.
Hall/marquee is good with delicious food. Sitting arrangement needs attention.",good,,
"Palm Marquee is a lovely venue for larger gatherings such as events, conferences, and weddings. They provide excellent service and high-quality food. They have reasonable gathering charges.",neutral,,
It is a nice event hall. Have ample parking space.. cook good food too.,good,,
best shadi hall i like its nan,good,,
Love that place n especially food ..,neutral,,
The place is nice and has big parking but I would give it 5 star ranking only if they ban music on their halls . Since its against the teachings of Islam .,neutral,,
Great place in the heart of the city to have a decent wedding and other parties. Ample parking area which is quite secure.,neutral,,
"Excellent Wedding Hall with more then enough Car Parking, tremendous Interior for Seperate Male and Female Halls. Vast variety of best food collections. Variety of Sweet Dishes, desserts and Soft drinks.",neutral,,
Very good place for function,good,,
Very nice hall. It has a very nice and big parking and the location is also accesable. The food was also great.,good,,
"A very good atmosphere, food items were hot and tasty, and the staff were very cooperative, neat and clean, spacious wedding halls and a huge spacious parking lot. Best approach and easy location on university road.",good,,
"Calm and well managed atmosphere for weddings with spacious car park and marquee for wedding guests. Food is tasty without spices or chillies, hygienic, and well served. Recommended for memorable weddings.",neutral,,
"A best banquet Hall on University Road toward Saddar/City, huge parking area, which is most important on this kind of busy road. Beat for weddings, seminars and conferences.",good,,
"Hello,

Place is even good for marriage and other corporate events. It has very large parking space. Management is cooperative team bounding is good every thing is just perfect food quality was awesome....",good,,
"One of the best marquee in KPK. Place is spacious, staff is very humble and polite, area is esthetically maintained by professionals. Good to have such amazing place in Peshawar , the city of flowers. Last but not the least, car parking is huge which accommodates 200+ cars. Recommended for outstanding marriage functions. ????",neutral,,
"Event Hall for marriage, birthday party, walima etc",neutral,,
Very nice place .best place for functions.everything is arranged perfectlly.clean envirment food is ammazing,good,,
"Among the best functions place... situated on main University Road Peshawar in Tehkal Bala Area...
Marquee is best and is spacious..
A vast parking space.. furniture is best... crockery is best and clean... people of the Marquee are trained and best... it is good... but lot of rush due to heavy traffic on main University Road...",good,,
"It was great, the parking, the hall, the food and last but not least there was a mini mosque as well.",neutral,,
Good place for small functions,neutral,,
One of the best hall for for different ceremony,good,,
"Its very beautiful Wedding hall.

Located in Arbab road on main G.T. Road Peshawar.

Very big car parking for more then 200 cars almost.

Hall is very huge, and very good lighting system (pretty bright).

Food is good too but they didn't allowed food from outside. Mean one can not arrange their own food in this hall.

Over all Everything is cool but booking/per head rate is little expensive.

I will give it 4 stars for everything.

Thanks.",neutral,,
"It's a very big gathering hall.
It is located on main University Road in Tehkal Area.. very accessible from Hayat Abad and peshawar cantt area..
A big and vast parking area..
It is better for functions at night times.. because the main University Road can also be used for parking but at day time due heavy traffic on road may make parking uneasy..and can increase traffic more..
Dishes are superb fresh and tasty. Services are excellent... sound system good..
Crockery is best new and clean...
People are trained and cooperative...",neutral,,
Very pleasant invoirment,good,,
"Good marquee for family functions like mehndi Barat etc..  Good ambience. Nice car parking area. On main university road i.e location is good. Recommended place ??
Total capacity of guests would be approx 1000 including both ladies and gents or maybe a bit more.",good,,
Best wedding hall in the town,good,,
"Easy approach, beautiful, comfortable, good parking space, helping staff. But the food was below average.......",good,,
Very best,good,,
"Well it was really well managed and located at the prime location of Peshawar, so access to that place is not a difficult job. But their was a problem with the sitting capacity of the hall as it was not spacious enogh for large number of crowd. Overall
it was a great experience in a city like Peshawar.",neutral,,
"It is not that large and have a limited parking area. Bcz of not large enough hall, ladies and gents seating are very close. It is ideal for small and mix family gatherings. Food is good enough. Music can not be played loudly bcz of small hall.",neutral,,
"I recently went with my cousin to get information for hall booking. The menu price is very reasonable considering the number of items. I have yet to attend the function so cannot comment on the food.
The manager is a very decent and well spoken individual who also gave me the tour of the hall.
He also gave us a good discount.
Really impressed with the manager . May ALLAH bless the young man",neutral,,
Beautiful place staff is very cooperative &  well management and good parking place.,good,,
"Food and service is good but relatively small, without any parking management and small open area.",neutral,,
It was a nice place comfortable and food quality very good indeed. Liked it.,good,,
"Food was good.
Environment Average bt washrooms were not cleaned & no soap available.
Limited inside parking.",neutral,,
best place for gathering food is good well mannerd staff i like it,good,,
This is my third event here. I really like the wedding hall. I have come here from Hayatabad in Suzuki.,neutral,,
"It was quite huge and open Hall..clean and Beautiful place..
You can book it for your any kind of Event..",good,,
Its a good marquee and a very good place to have a function. All the things were organised. Their staff was also organised and working well. The food also was good and delicious.,good,,
"Only issue is Parking. All cars were parked on main road. I don't know why these people Construct plaza/halls/shops without Parking. other than that its a nice wedding hall, Great for Big functions.",neutral,,
The venue can be used for hosting small events with limited guests as they can't manage big numbers despite spacious halls. Food is okay-ish. The issue is that the management is inexperienced and service is poorly slow. If you request the management to turn the air con on or brighten up the lights in main hall then you end up waiting for at least an hour for them to comply and the same goes for any other request(s) you would make! By then almost half time of your booking has elapsed which appears to be a deliberate money saving exercise by them. They can't host big events to success as we almost had a disastrous experience with them. Nothing special as they surely have a lot to improve upon.,bad,,
A best wedding place for events.,good,,
"Best place for wedding
Best service
And the most important, food is lajawab",good,,
"It is a beautiful wedding hall...
Recommended",good,,
"The place has been beautifully decorated and well maintained. During the function, a door glass broke down and it was repaired within 20 minutes without waiting for the ceremony to end. Air-conditioned and spacious hall. Mosque available on roof for the guests. The only thing that needs improvement is the parking. After all the guests arrived, the parking was choked and nobody could move the vehicles out or in. People started parking in the entrance and those who came earlier, were stuck badly. It is suggested that if car security is not an issue, then park outside so that one can leave in time for other commitments.",neutral,,
"Reliable Neat and clean but no parking available .
Parking at owner risk.
You will park your car at road side.
No mask
No sanitizers
No social distancing.
Note:
I suggest management for all waiters (including cook) wear gloves and mask to make quality assurance and hygiene also.",neutral,,
It has been a bitter experience to have attended a wedding at Liaqat Palace. Canopy installed outdoor was extremely cold though 4 oil heaters were installed. But heating was muchmless than the requirements.,neutral,,
"I had my walima ceremony arranged there. I am totally satisfied with their services. I even took there utensils home and returned back after many days and still they were okay. Female waiter service was good.
One thing I didn't like was security that could not stop beggars asking for help inside hall. Secondly some of the service men asked for money for sweets which I didn't like at all.

All in all, staff was cooperative and food was tasty.",neutral,,
"A vry nyc place fr gathering and functions,food wz gud and staff wz vry humble and gentle.",neutral,,
Its good and ecnomical place for family functions it has spacious parking for guests loction is easy aprochable food was also good one thing i think they can improve thier serving staff was not up to the standards. Over its nice place,good,,
"Amazing Experience ?? Staff and Waiters were very Co operative.
Its Big Hall for marriages, Concerts, Expos etc
It was Very Beautiful and Exotic",good,,
Attended a friend wedding ceremony in liaqat palace. It's a great place for such Gatherings. The food was fantastic. The ambiance is good. A nice and perfect place for limited number of guests.,good,,
The place was nice and beautiful,good,,
Average size hall for events,neutral,,
Liaqat palace was one of the most pleasure places I've visited. It's got nice hall and an awesome yard.,neutral,,
Wonderful wedding hall??,good,,
"Its a wedding hall near Hayatabad, one of the fine and clean places for gatherings and functions. Have two separate halls for ladies and gents with enough space for parking.",neutral,,
"Good, parking was good as well as the food. Place is slightly at the back of main road.",neutral,,
Good wedding hall... also good for functions and parties.. location is ideal from Hayatabad Peshawar... no Parking Problems...,good,,
Experience was good. Still needs a bigger parking space.,neutral,,
Good Hall for different events,neutral,,
One I'd the best maquee,good,,
"Decent Enough, But they should put a board which can be clearly seen from the road. Hall in itself is quite good??",neutral,,
Very good wedding Hall & atmosphere . Also very corporative staff . Excellent food,good,,
A Good place for family gathrings. Huge gathrings are not possible due to small parking capacity,neutral,,
It was the good ?????? experience,good,,
Having good space of guest as well as parking but food taste was not good,neutral,,
We service to the people we want to bring new valuable products to the nation we hope  to have best think about us...,good,,
"Nice food
Good atmosphere.
Little work required on parking.",neutral,,
ITS GOOD,neutral,,
Too much far away,bad,,
It's good place but here you will face car parking issue...,good,,
Just the parking is strange . The hall is beautiful,neutral,,
Newly opened marquee at a best location,good,,
Good place for parties with wide parking area and convenient in approaching.,neutral,,
Services are good but it needs to make washrooms accessible to the hall.,good,,
Best wedding hall and Good staff ...,good,,
"Visited this place for MDCAT test purpose .
Opposite to she'll filling station and Dr.naeema utman clinic ..",neutral,,
A new built Marriage hall on ring ro@d near Zaiqa Restaurant. An average wedding hall.,neutral,,
"The food was excellent! and it was cooked perfectly.
The service was wonderful.
The ambiance was perfect. ...
Overall, this was an incredible dining experience. ...
I had a great experience at sabrina marquee..",good,,
"Excellent environment for all kind of celebrations and gatherings.
Neat and clean environment with best quality of food.
Very professional and friendly staff.
Safe and huge capacity for car parking.
Highly recommended",good,,
"It's an excellent facility for celebrating weddings, birthday parties and large events. Well organized and professional staff. Food is always excellent.
You will feel comfortable by opting your parties there.",good,,
"Sabrina Marquee in Peshawar is a versatile and elegant venue, suitable for a range of events. Its tasteful interior, accommodating both intimate gatherings and larger functions, impresses with a blend of modern and classic design elements. The attentive staff, top-notch facilities, including sound and lighting systems, and its convenient location further enhance its appeal. Sabrina Marquee's professionalism and charm make it a standout choice for weddings, corporate events, and social gatherings, ensuring memorable experiences for all.",neutral,,
One of the leading ideas & innovation in Peshawar. Well planned & well decorated with new ideas even some of 1st time in Peshawar. Spacious and luxurious outlook. Able to handle Huge gatherings even with open space & enough parking area. Professional & experienced staff with communication gadgets. Sabrina being pioneers in events management launched this luxurious setup. Best of luck for further innovations.,neutral,,
This is a beautiful marqee to arrange marriage or casual functions interior designing and furniture is 1st class. This is an expensive hall to book.,neutral,,
"Decor outdated needs major renovation, seating not enough and crampt bathroom has stinking smell, waiters not trained. One glass for water for the whole table of 10 persons.",bad,,
Awesome outclass place for events no parking issue expensive but management is perfect,good,,
A very good events hall. Spacious and well placed.,good,,
One of the Best Shadi Hall in peshawar,good,,
Only decoration is good.. otherwise.. food is pathetic.. have attended a wedding yesterday and all my family members r ill... even though I was unable to eat.. I would rather give minus stars to them...,bad,,
"They need renovation from inside and improve there food items its good for 300 persons,if you have more then its chaos,so service also needs to be improved.",good,,
"Excellent location.
Very well maintained.
Food is excellent.
Parking is adequate but should have (flood ) lights",good,,
One of the best wedding hall in Peshawar with good facilities like parking etc,good,,
Sabrina marquee is one of the leading ideas & innovation in Peshawar. Well planned & well decorated with new ideas even some of 1st time in Peshawar. Spacious and luxurious outlook. Able to handle Huge gatherings even with open space & enough parking area. Professional & experienced staff with communication gadgets. Sabrina being pioneers in events management launched this luxurious setup. Best of luck for further innovations.,neutral,,
"Cooking was good. All food items has great taste.

hall environment was so so.

Site/location, parking issues.",neutral,,
Lovely hall. Nice approach. Only has parking issue. The food quality offered is also awesome,good,,
"Considered one in the best marques in Peshawar. Often been there, though yesterday's meal wasn't of that quality. Better place for festivals, they have two huge parking areas and two separate halls gor gents and ladies. You need to book the hall about a year before the function. ??",good,,
A first class marriage hall,neutral,,
"Hall was good, air conditioning perfect, wide area for car parking but mosque space is not enough and the management was unable to control the dinning time condition. It was rush and everything was in bad shape.",neutral,,
It was a good experience. The ladies and gents halls were seperate. The halls were big enough to accommodate the people. The parking area was sufficient. The food arrangement and management was very good. The food was delicious and tea was good.,good,,
"Too good, but a bet hot. Cooling system was not able to control the whole area, particularly, the stage area. Food was good though.",neutral,,
"Very nice, neat and clean place with large parking space",good,,
Sabrina Marques is situated on shami road. The Marques is located adjacent to Golf Club. It has a big hall and vast parking place. It is an excellent Marques. The services provided by the management of the Marques are exemplary. I have went there to attend the walima of the son of my best friend.,good,,
Good arrangment and Very tasty food,good,,
"Nice seating arrangement with best interior decor...
Such a nice place for your guests to be entertained... Your guests could be impressed ...
Cons: temperature control was not upto the par (cold in winter)...
Food was ok, except for seekh kabab ( taste was just below average,and seemed to be old)...
Would totally recommend this marquee...",neutral,,
"The location is pretty good but the staff are not very helpful, toilets are almost always of order and the parking doesnt have enough space",neutral,,
Nice marquee and great food.,good,,
It's newly built Marqee with a Huge hall which can be partitioned in two or more halls as per requirements. It also have big parking space & great place for selfie lovers. It's parking & the hall both are wheelchair assessable.,neutral,,
Wow never seen such green place in Peshawar,neutral,,
"One of the finest wedding halls of Peshawar
Just handle your food settings
Rest is all fine
Still the same",neutral,,
"A complete experience : Professional staff, extreme taste,  more then sufficient parking, Huge hall well equipped with cooling and heating facility and can be easily decorated as per your liking.",neutral,,
"No alternate to Load shedding, just fans were on. We had dinner while sweating.
Wasn't expecting this.",bad,,
"Small place but beautiful good for engagement wedding ceremony, big parking capacity , clean location",neutral,,
"The Sabrina Marque is a nice, well organized, neat and clean gathering Hall in this area. . .
Most of the Khyber Television Programs and shows are held here in this gathering hall. . .
I would give them five stars review
thumbs up for Sabrina Marque",good,,
"Mid-range venue for hosting wedding receptions.
Wide parking is an additional advantage.",neutral,,
Fantastic place for weddings ceremonies,neutral,,
"Neat and clean Marriage Hall, located on Shami Road, in Golf Club lane, Nice Location, mid of the city, huge space for Parking.",neutral,,
"Good food quality.
Cooperative Staff.",good,,
Food is very good here in per head system plus big place for function and also stage is well decorated. Staff behaviour is  good,good,,
Not good for function in summer extreme hot ...poor cooling system no proper place for namaz...i will not recomend in summer function....,bad,,
"Nice food, good location and beautiful halls",good,,
Here I attended wedding ceremony here of my friends daughter. Experience was excellent.,good,,
Beautiful vast environment with extra ordinary taste service and class place to celebrate family gathering amazing Catherring service keeps it up,neutral,,
Not suitable for large gatherings. AC not working properly. Recommended for small events in winter.,neutral,,
"Adjacent to peshawar golf club on shami road, a big wedding hall having capacity of about 1000 people at a time.",neutral,,
"Overall they are giving good service for medium OT smaller events,  for huge events please don't go there",neutral,,
"Wonderful hall,but lake of public transport(auto raksha and taxi).",good,,
"Very nice hall, long parking area",neutral,,
Really good environment and supporting staff.,good,,
"It is located on Kabul River, Canal Road, Sher Ali Town, Peshawar, Khyber Pakhtunkhwa.
The best wedding hall of Peshawar in terms of its capacity, the staff, the facilities,The washrooms were clean, with shoe polishing/brushing machine and everything else needed and there were guards standing at regular intervals to guide the guests for disciplined parking.
Mostly buffet style programs are arranged here.
This is a big place in Peshawar with all standards high for marriage ceremonies as they have 2 huge Halls and a huge space for car parking. I recommend this place.
Everything is fabulous.food, staff,hall, management, security, recommend.",neutral,,
Place is Awesome.  Best for Function. Management is bit lazy. Food was also great.,good,,
"A local large size wedding hall with a capacity of accommodating up to 3000 guests at a time with separate halls for ladies & gents and large parking space for vehicles.
Very spacious, neat and clean environment.
Professional and friendly staff.
Highly recommended.",neutral,,
"Food was good, the ambience was excellent, staff was well mannered but the cleanliness was not so good ??",good,,
Best Exhibition of furniture held in Peshawar in Marbella cave wedding hall Peshawar. Most of the furniture brands whose participated were Islamabad based. The furniture staff was out class quality and true representation of the Pakistan furniture wood work.,good,,
"Neat and clean nahe marquee - best and economical for corporate, commercial & wedding events.

Special thanks to nouman sb who has been a great human being and cooperates at every level.",neutral,,
"A huge wedding/event hall with a good parking area. It's also easily accessible from the main road..
The service and the food were also good..",good,,
"It was nice place. The venue, arrangements, food was good. I came to attend the valima of my niece and was surprised to see the place.",good,,
A local large size wedding hall with a capacity of accommodating up to 3000 guests at a time with separate halls for ladies & gents and large parking space for vehicles.,neutral,,
"Significantly good establishment good for events with large gathering (weddings etc). Has four halls to accommodate up to 1000 persons easily.

The menu presented in a traditional khuncha comprising of beef rich, seekh kebabs, mutton and chicken karahis, halwa, with bread (naan) and fresh salad. The food could be much better and that doesnt mean it was not good.

Parking was sufficient for 200 - 400 vehicles.",neutral,,
It was a very good wedding hall. The decorations was superb and the most I like was the dress of waiters because it was like the dress of alladin,good,,
Marbella Cave is the pretiest hall i have ever seen. Massive parking and massive and clean sitting environment.,neutral,,
With coloured windows doesnt look v.nice. also the food service is below average. Theres empty space like terrace above the stage from here children go up and throw stuff on guests. Only the parking lot is big enough to accommodate large amount of guests,neutral,,
"The banquet hall had great parking and nice view.. Price is expensive as compared to other banquets hall with same view..
Taste was average but if you need a large space and a good parking and nice view... This place is just best",neutral,,
It's  very  beautiful  and  largest  wedding  hall  in  Peshawar  kpk  Pakistan  .,good,,
"Very spacious, neat and clean environment with a massive car park. Highly recommended.",neutral,,
its' a wide open and stunning area with a huge parking area,neutral,,
Nicely managed and well hygiene.  Recommended.,good,,
"I went to the property expo on the first day. I had to change three vehicles from Hayatabad to reach there. Marbella is a nice place, but events like this should be held at Shiraz Arena of Deans. It has multiple big halls. It is accessible to everyone. A property expo was not as impressive as the one held earlier this year. There was no water in the toilets. It was very cold. Musical concert started late.",neutral,,
"Food was nice.
Service was good",good,,
Very nice marquee and also food is very delicious,good,,
Visit few times find Good but need some improvement ??,neutral,,
Marbella cave wedding hall is beautifully constructed wedding hall near warsak road with spacious halls and car parking ... Loved its design services and design,good,,
"Very good weeding hall , professional ppl",good,,
Lucky place lucky day. IELTS exam??,neutral,,
"The most comfortable gathering place, having the capacity of accommodating more than 3000 people at a time.
Environment and food along with services were great.",good,,
Very good parking area with two weddings hall. Food is normally regarding taste. We have personally  booked marbella  wedding hall twice. And attended  others wedding.more than 10 times. Over all good experience. Manager behaviour.is good. Good place for wedding photo shoot.,good,,
Extremely spacious and neat facility for weddings and other gatherings. The facility has a huge car parking and easily accessible from both warsak road and Charsadda road,neutral,,
"One of the the biggest wedding Hall.
Also good for multiple event.
Strong recommended",neutral,,
"The place is undoubtedly spacious and has a nice interior but the waiters and cooks are awful. The food was below average and they don't bother about you and your guests, all they care about is extra table or two that they serve. And they won't let you to make arrangements for your own food and consequently your guests will be served with rubbish food.",bad,,
"Very spacious hall with big parking faciity. Easy accessible from Peshawar city, Cantonment and University Town.",neutral,,
"Awesome wedding hall
Excellent parking
Awesome sitting
Awesome services",good,,
"Had my brothers walima last night, some items on the menu were not poor quality and served cold. When we complained the management insisted that we should have tasted the food beforehand which should be the job of the management. They were only interested in the money and we very rude, they started wrapping and switched off the lights while the guest were still sitting. I would not recommend the hall, the management need to look at their attitude and customer care skills big time. We will not book this place again.",bad,,
Great place for gathering and wedding programs.,good,,
"I attended a wedding in this wedding hall, it's Good and spacious, with big parking facility, food is of low quality and average service",neutral,,
"It's a beautiful Banquet Hall with spacious parking, neat interior, clean bathrooms, and efficient service. The staff was very attentive and professional. When a beverage bottle broke and drink was spilled on the floor, it was cleaned up in less than five minutes. There's a prayer place inside the compound and wheelchair accessible entrance to halls. The slope for wheelchairs is too steep, though. It would really help if the incline of the slope is reduced.",neutral,,
"Located on main Canal road, Marque is great for events including business conferences / meetups, Beautiful and has huge parking space, 24x7 security, management team is professional and know their job, well managed.",good,,
Wonderful experience in Marbella cave wedding Hall neat and clean lush,good,,
Very large and well maintained and traditional decorated weeding hall. Also very high rent.,neutral,,
One of the best and Traffic-avoided Wedding Hall.,good,,
Its excellent wedding hall having a large car parking and beautiful halls. Price rate is very good.,good,,
nice staff good environment,good,,
"Wah wah wah?? if I have handsome amount of money to spend then go for Marbella cave wedding Hall?
One of the finest wedding hall in Peshawar?
Classic classical classilistic ?? fun fun funtabulous",neutral,,
"Very poor and dissatisfiy with all the watchman ,staff and security",bad,,
Finest wedding hall in peshawar. The service was great. The Taste Of Food Was Also Great And The Hall Also Have Big Parking Space,good,,
"A great hall used specifically for weddings, but I think it could be used for other small functions and events as well.

The food is nice and tasty. The hall has stairs where bride and groom can make an entrance from. The stage is decent too (but can be modified according to the needs of the one using it)",neutral,,
Enough parking area for the guests and hall is very spacious and lit. Service is very good!,neutral,,
"A mesmerizing anf beautiful marquee in Peshawar. It took us a bit twist and turns to reach the place but it was a sigh of relief after seeing it,  having a humongous parking space and the beautiful architecture of the building.
The seating arrangement was the downside and not impressive at all. The food was good and so were the staff members. The halls are beautiful and spacious too.",good,,
Geat place with huge parking space. Best high quality food. I loved the hot served bread.,good,,
"Very nice place, usually used for weddings, but my ILETS test was on Saturday 19th 2022 November",neutral,,
On the top of Dean's Trade Center.  Better environment and good management. Not bad. Last day we were there for the RYS Rural Youth Summit. Enjoyed that and experiencing with the new technologies.,neutral,,
"Without a doubt, the best wedding hall of Peshawar in terms of its capacity, the staff, the facilities, location as well as the food. The staff kept on cleaning the halls regularly and enthusiastically. The washrooms were clean, with shoe polishing/brushing machine and everything else needed. The only thing requiring attention is the lack of space for prayers, which was just a corner mat where only a handful of people could pray at one time. Parking is also enormous, and there are guards standing at regular intervals to guide the guests for disciplined parking.",neutral,,
Only one word can describe this wedding hall and that is Wow. Huge car parking on roof top and two huge wedding halls and open patio for relaxing area. Food is amazing and serving top class. Professional staff at your service. Music at patio is amazing. Of course it is one of expensive wedding hall and you need to book it will in advance bcz it mostly booked. So for large gathering and weddings it is highly recommended. If you got lot of guests then wedding halls are free.,neutral,,
"Perfect spot for your wedding or event. The location is intimate and warm.Great views, and a perfect indoor space for a reception. The every aspect of this place is simply beautiful. Food was amazing, service even better but nothing beats the ambiance of the place.",good,,
"Located on top floor of Deans trade center Peshawar.
Beautiful Hall with good service, good enough for 800-1000 guests.
Nice arrangements. Cook is good enough to order food for your program.
Mostly buffet style programs are arranged here.
Large free parking area for at least 100 cars so you don't have to worry about parking. The car ramp is very well made to climb up the top floor of Deans trade center Peshawar.",neutral,,
"Great location, good food, courteous staff, serene environment. Standard of cleanilness of wash rooms was awesome(sharing few snaps). Keep it up.",neutral,,
"Huge beautiful halls with safe  parking space,unfortunately food quality is not up to the mark!",good,,
"Shiraz Arena is consist of event management different halls and open space on top of Deens Shopping mall of Peshawar Saddar. I attended an wedding reception of my friend's son in this restrictions of Coved-19 but the experience was amazing, well organized well managed seating set up. Food was delicious. Had great parking lots. SOPs of Covid-19 were very well followed. Staff was very well mannered and well enough trained",neutral,,
"Very well furnished halls with good ambience. The halls are located on the top-most floor of a mall. Getting there isn't the most pleasant experience (lots of bends) but once there, the parking is spacious and decently lit.

The food.. I didn't like it but that's only because I'm not a fan of the cuisine. Locals loved it.

Nice place, well-behaved staff, and a very good sound system.",good,,
It's beautiful and well managed although there's only single lift you can go through and can go through car only which makes it a bit worse,neutral,,
Best wedding and event venue in Peshawar,good,,
Shiraz Arena is a good place for arranging events but one thing I don't like is that there's only one elevator that too has a very less capacity,neutral,,
